id;ticker;name;market;field
806964;KTR;Kintavar Exploration Inc;TSX Venture Exchange;-
177308;VTI;Valdor Technology International Inc;TSX Venture Exchange;Teknik
781293;CONE;Canada One Mining Corp;TSX Venture Exchange;-
520111;SNS;Select Sands Corp;TSX Venture Exchange;-
924360;NBUD;North Bud Farms Inc;Canadian Securities Exchange;-
806942;GDNP;Good Natured Products Inc;TSX Venture Exchange;Teknik
924590;EOM;Eco Oro Minerals Corp;Canadian Securities Exchange;-
924431;SPFY;Spacefy Inc;Canadian Securities Exchange;-
748316;PAC;Pacton Gold Inc;TSX Venture Exchange;Råvaror
199688;KEG.UN;KEG Royalties Income Fund;Toronto Stock Exchange;Konsument, cyklisk
199336;AQN;Algonquin Power & Utilities Corp;Toronto Stock Exchange;Allmännyttigt
209688;EDG;Endurance Gold Corp;TSX Venture Exchange;-
574976;FCF;Founders Advantage Capital Corp;TSX Venture Exchange;-
279440;HTR;Heatherdale Resources Ltd;TSX Venture Exchange;-
282257;VDO.H;Nevado Resources Corp;TSX Venture Exchange;-
807542;SSC;Smartcool Systems Inc;TSX Venture Exchange;Industri
948791;GTWO;G2 Goldfields Inc;TSX Venture Exchange;-
311297;LUC;Lucara Diamond Corp;Toronto Stock Exchange;Råvaror
857367;MDF;Mediagrif Interactive Technologies Inc;Toronto Stock Exchange;Råvaror
76148;NRN;Northern Shield Resources Inc;TSX Venture Exchange;-
924014;SCOT;Scottie Resources Corp;TSX Venture Exchange;Råvaror
595955;IFA;iFabric Corp;Toronto Stock Exchange;Konsument, cyklisk
483440;KXS;Kinaxis Inc;Toronto Stock Exchange;Teknik
450547;CJ;Cardinal Energy Ltd (Alberta);Toronto Stock Exchange;Energi
207934;RIB.UN;Ridgewood Canadian Investment Grade Bond Fund;Toronto Stock Exchange;Teknik
76092;SPI;Canadian Spirit Resources Inc;TSX Venture Exchange;Råvaror
965435;ISFT;ICEsoft Technologies Canada Corp;Canadian Securities Exchange;-
76099;GIL;Gildan Activewear Inc;Toronto Stock Exchange;Konsument, cyklisk
924359;MYM;MYM Nutraceuticals Inc;Canadian Securities Exchange;-
482262;IFC;Intact Financial Corp;Toronto Stock Exchange;Finans
807518;PEH;Primeline Energy Holdings Inc;TSX Venture Exchange;-
560297;IVS;Inventus Mining Corp;TSX Venture Exchange;Råvaror
435275;ALB;Allbanc Split Corp II;Toronto Stock Exchange;-
96747;MAG;MAG Silver Corp;Toronto Stock Exchange;Råvaror
76297;MGM;Maple Gold Mines Ltd;TSX Venture Exchange;Råvaror
656057;FRX;Fennec Pharmaceuticals Inc;Toronto Stock Exchange;Sjukvård
77854;ABN;Aben Resources Ltd;TSX Venture Exchange;Råvaror
807531;PXA;Phoenix Gold Resources Corp;TSX Venture Exchange;-
598119;DYA;dynaCERT Inc;TSX Venture Exchange;Industri
924457;NGW;Next Green Wave Holdings Inc;Canadian Securities Exchange;-
93627;BBD.A;Bombardier Inc A;Toronto Stock Exchange;Industri
439162;GMX;Globex Mining Enterprises Inc;Toronto Stock Exchange;Råvaror
807556;SN;Sennen Potash Corp;TSX Venture Exchange;Råvaror
956994;GLO;Global Atomic Corp;Toronto Stock Exchange;Råvaror
282253;BDI;Black Diamond Group Ltd;Toronto Stock Exchange;Industri
748314;WMD;WeedMD Inc;TSX Venture Exchange;Sjukvård
